Customer,Default,card_class,Gender,Education,Marital_Status,Age,Credit_Limit,Jun_Status,May_Status,Apr_Status,Mar_Status,Feb_Status,Jan_Status,Jun_Bill,May_Bill,Apr_Bill,Mar_Bill,Feb_Bill,Jan_Bill,Jun_Payment,May_Payment,Apr_Payment,Mar_Payment,Feb_Payment,Jan_Payment,Jun_PayPercent,May_PayPercent,Apr_PayPercent,Mar_PayPercent,Feb_PayPercent,Jan_PayPercent
646,0,2,1,3,2,39,5100,1,-1,-1,-2,-2,-2,7334.19,5036.98,5130,0,-171,0,177.16,171,0,0,171,0,0.0242,0.0339,0,1,1,1
3467,0,2,1,1,1,52,6800,-1,-1,-1,-1,-1,-1,34.71,31.87,49.69,28.08,38.41,30.03,31.94,49.97,28.15,38.51,30.1,31.67,0.9202,1,0.5665,1,0.7837,1
3572,0,2,1,,1,,6500,0,0,0,0,0,0,6200.29,6116.91,6206.03,6121.25,5989.48,5818.65,274.25,273.87,229.14,232.56,216.28,209.3,0.0442,0.0448,0.0369,0.038,0.0361,0.036
22183,0,1,2,2,1,28,1400,0,0,2,0,0,0,998.47,1095.87,1068.75,1093.1,1120.12,1148.13,124.83,0,52.43,45.21,51.3,41.76,0.125,0,0.0491,0.0414,0.0458,0.0364
10303,0,2,,,2,,3400,1,-1,-1,0,-1,-1,0,14.67,29.34,14.67,14.67,14.67,14.67,29.34,0,14.67,14.67,14.67,1,1,0,1,1,1
1725,0,3,1,,2,,12300,0,0,0,0,0,0,3916.82,4086.46,3879.58,3862.55,4176.57,4156.91,685.57,172.57,342,343.64,343.47,171.48,0.175,0.0422,0.0882,0.089,0.0822,0.0413
7470,0,2,,,1,,7900,0,0,0,0,0,0,2600.91,2630.7,2238.46,2090.61,1887.81,1894,102.6,136.8,102.6,102.6,68.4,102.6,0.0394,0.052,0.0458,0.0491,0.0362,0.0542
15821,0,1,2,1,2,27,1000,2,0,0,0,0,0,806.27,840.77,885.27,918.3,916.83,943.89,47.88,58.14,64.98,19.05,34.2,68.4,0.0594,0.0692,0.0734,0.0207,0.0373,0.0725
21501,0,2,2,2,2,39,5500,0,0,2,2,2,0,1047.65,1269.47,1240.19,1487.05,1488.21,1696.97,239.4,0,268.37,35.09,239.4,272.51,0.2285,0,0.2164,0.0236,0.1609,0.1606
5893,0,1,1,3,2,26,700,2,0,0,0,0,0,611.5,657.46,660.98,639.4,657.77,680.89,56.12,82.08,21.61,27.36,34.2,51.3,0.0918,0.1248,0.0327,0.0428,0.052,0.0753
22589,0,2,2,1,1,46,6200,0,0,0,0,0,0,6234.08,5716.87,5940.03,6129.08,6233.67,5336.19,513,378.94,342,342,239.4,342,0.0823,0.0663,0.0576,0.0558,0.0384,0.0641
2736,0,2,2,1,1,37,4800,0,0,0,0,0,0,4621.58,4759.89,4784.58,3750.54,3698.01,3695.89,229.24,209.3,137.31,138.24,138.75,137.21,0.0496,0.044,0.0287,0.0369,0.0375,0.0371
15433,0,1,1,1,2,24,1000,0,0,0,0,0,0,968.78,937.29,971.28,961.53,985.85,948.88,50.07,49.86,49.35,39.47,34.47,34.82,0.0517,0.0532,0.0508,0.041,0.035,0.0367
1067,0,2,1,3,2,30,3400,0,0,0,0,0,0,2995.2,2472.93,1829.87,1483.29,1645.88,1381.27,142.68,71.61,102.84,342.72,103.01,52.22,0.0476,0.029,0.0562,0.2311,0.0626,0.0378
2569,0,1,1,2,2,54,300,0,0,2,2,0,0,177.36,281.3,281.94,272.33,278.18,341.83,112.86,10.26,0,10.23,68.4,0,0.6363,0.0365,0,0.0376,0.2459,0
6686,0,2,2,2,2,29,9600,0,0,0,0,0,0,4818.37,4916.11,1898.31,1940.54,1983.02,2024.13,172.37,102.6,68.4,68.4,68.4,102.6,0.0358,0.0209,0.036,0.0352,0.0345,0.0507
3503,0,3,2,2,2,30,12300,0,0,0,0,0,0,4522.95,4536.8,4649.8,4781.02,4912.56,5041.7,171,171,171,171,171,171,0.0378,0.0377,0.0368,0.0358,0.0348,0.0339
1883,0,2,1,1,2,25,3100,0,0,0,0,0,0,1120.22,1071.32,958.76,1017.55,1046.55,1131.44,68.4,102.6,68.4,102.6,102.6,34.2,0.0611,0.0958,0.0713,0.1008,0.098,0.0302
5566,0,2,2,1,1,43,8200,0,-1,-1,-2,-2,-2,303.08,110.12,0,0,0,0,110.12,0,0,0,0,0,0.3633,0,1,1,1,1
23781,0,2,2,2,1,60,5500,-2,-2,-2,-2,-2,-2,549.25,54.89,143.64,84.17,0,0,54.89,143.64,84.17,0,0,7.87,0.0999,1,0.586,0,1,1
14450,0,2,1,2,2,28,9600,0,0,0,0,0,0,3572.22,3623.83,3438.54,3525.58,3556.22,3612.82,152.87,143.23,171,125.82,126.64,124.9,0.0428,0.0395,0.0497,0.0357,0.0356,0.0346
13971,0,1,2,2,2,23,1700,1,-1,-1,2,2,0,0.1,1175.15,1532.3,1532.16,1490.3,1515.57,1175.15,357.15,68.43,0.03,68.43,68.43,1,0.3039,0.0447,0,0.0459,0.0452
17433,0,2,2,2,2,35,3400,-1,-1,-1,-1,-1,0,35.77,92.34,74.8,23.19,69.77,32.28,92.41,74.8,23.19,69.77,0,0,1,0.81,0.31,1,0,0
13647,0,2,2,5,2,36,8200,-2,-1,2,0,0,-2,-8.04,60.36,29.79,29.79,-5.3,-5.3,68.4,0,0,5.3,0,0,1,0,0,0.1779,1,1
19697,0,3,2,1,1,,16100,0,0,0,0,0,0,5574.6,5482.19,4640.36,4402.19,3973.12,3566.48,343.61,171.03,205.54,154.31,137.21,120.45,0.0616,0.0312,0.0443,0.0351,0.0345,0.0338
9181,0,2,,,2,,8200,0,0,0,0,0,0,10534.04,6529.02,6572.59,6493.79,6436.61,6235.52,239.4,226.23,218.91,222.4,218.64,206.94,0.0227,0.0346,0.0333,0.0342,0.034,0.0332
24341,0,2,1,1,1,38,4800,-1,-1,0,-1,-1,-1,37.96,842.31,786.05,152.4,114.6,309.1,842.45,344.26,152.43,114.67,309.1,0,1,0.4087,0.1939,0.7524,1,0
5074,0,2,2,2,1,41,2700,-2,-2,-2,-2,-2,-2,248.77,214.78,718.75,493.23,176.37,225,214.78,722.13,493.23,176.37,225,384.78,0.8634,1,0.6862,0.3576,1,1
26934,0,3,1,1,2,35,12300,0,0,0,0,0,0,356.5,348.74,2933.57,2801.63,2576.35,1628.67,37.76,2803.37,111.53,64.5,103.8,70.73,0.1059,1,0.038,0.023,0.0403,0.0434
2875,0,1,1,2,2,25,700,0,0,0,0,0,0,465.46,484.27,519.84,506.16,608.76,342,46.51,47.88,0,102.6,6.84,0,0.0999,0.0989,0,0.2027,0.0112,0
24073,0,2,1,1,2,,2100,0,0,-1,-1,0,0,703.39,408.25,52.53,2019.1,1866.84,1928.03,136.8,52.53,2019.1,44.46,102.6,68.4,0.1945,0.1287,1,0.022,0.055,0.0355
6514,0,2,2,1,1,41,4800,-1,2,-1,-1,0,-1,26.68,13.34,13.34,26.68,13.34,13.34,0,13.34,26.68,0,13.34,13.34,0,1,1,0,1,1
7818,0,1,1,2,2,27,1700,1,2,2,2,2,2,603.77,584.2,687.01,666.32,675.18,659.21,0,112.86,0,53.35,0,30.13,0,0.1932,0,0.0801,0,0.0457
24692,0,2,1,2,1,45,2400,0,0,0,0,0,0,2293.52,2346.87,965.67,1051.65,1204.01,1281.34,102.6,51.3,102.6,171,102.6,171,0.0447,0.0219,0.1062,0.1626,0.0852,0.1335
23243,0,2,2,2,1,,5100,0,-1,-1,-1,0,0,217.82,178.35,139.88,1774.74,1779.53,1750.63,178.35,139.88,1774.74,68.4,102.6,75.31,0.8188,0.7843,1,0.0385,0.0577,0.043
19672,0,3,2,2,1,37,14700,0,0,0,0,0,0,608.76,621.59,381.43,378.7,97.57,108.65,68.5,68.4,35.23,80.37,68.4,39.33,0.1125,0.11,0.0924,0.2122,0.701,0.362
6578,0,2,2,1,1,41,5500,0,0,0,0,0,0,4122.06,3421.71,3499.48,3580.64,3529.51,3227.11,239.4,136.8,136.8,140.73,136.8,126.2,0.0581,0.04,0.0391,0.0393,0.0388,0.0391
11712,0,2,1,2,2,27,5100,0,0,-1,-1,0,0,2106.93,2118.69,6.84,1747.59,837.46,602.74,171,6.84,1792.05,173.15,51.3,75.24,0.0812,0.0032,1,0.0991,0.0613,0.1248
537,0,3,2,1,2,35,15000,0,0,0,0,0,0,11311.96,11552.55,9373.37,8638.37,7405.91,6129.36,448.02,376.2,342,307.8,242.82,188.1,0.0396,0.0326,0.0365,0.0356,0.0328,0.0307
18054,0,2,1,1,1,39,6200,-1,-1,-1,-2,-2,-2,173.94,193.61,0,0,0,0,193.85,0,0,0,0,0,1,0,1,1,1,1
2291,0,1,1,3,3,54,300,1,2,0,0,0,0,280.78,271.41,300.69,311.8,318.23,325.04,0,39.19,16.11,16.52,17.17,15.73,0,0.1444,0.0536,0.053,0.054,0.0484
7989,0,2,2,2,2,27,6800,-2,-2,-2,-2,-2,-2,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,9.03,0,1,1,1,1,1,0
3038,0,3,1,1,2,36,10300,0,0,0,0,0,0,10103.81,10312.02,10534.9,10470.47,10111.71,9929.25,444.6,448.57,376.2,376.2,410.4,318.06,0.044,0.0435,0.0357,0.0359,0.0406,0.032
22669,0,2,,,1,,5500,-2,-2,-2,-2,-2,-2,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,1,1,1,1,1,1
27714,0,1,2,2,2,24,1700,0,0,0,0,0,0,199.01,275.1,118.64,72.54,28.08,130.68,87.38,41.04,34.2,0,102.6,0,0.4391,0.1492,0.2883,0,1,0
21776,0,2,2,2,1,,3100,0,0,0,0,0,2,2955.63,3068.08,2417.29,2516.95,3103.82,1836.27,171,112.86,781.03,112.86,0,56.43,0.0579,0.0368,0.3231,0.0448,0,0.0307
20529,0,1,1,2,2,26,1700,0,0,0,0,0,0,1415.03,1210.61,954.39,788.07,655.51,666.15,51.81,48.7,44.97,34.2,34.2,34.2,0.0366,0.0402,0.0471,0.0434,0.0522,0.0513
21430,0,3,2,1,2,25,17100,1,-1,-1,-1,-1,0,-1.57,321.89,43.09,0,38.34,224.56,323.46,43.09,0,38.34,205.2,102.6,1,0.1339,0,1,1,0.4569
26075,0,2,2,2,2,,5500,-2,-1,-1,-1,-1,-1,259.78,30.71,29.07,59.13,194.8,0,31.46,29.14,60.16,195.18,0,0,0.1211,0.9489,1,1,0,1
21957,0,1,2,1,2,,1700,0,0,0,0,0,0,1058.52,978.87,398.64,185.88,216.73,247.16,54.72,52.74,37.62,34.2,34.2,9.71,0.0517,0.0539,0.0944,0.184,0.1578,0.0393
1431,0,1,2,1,1,29,1700,0,0,0,0,0,0,1726.62,1711.2,1689.07,351.41,328.25,286.66,75.24,40.77,34.2,68.4,34.2,51.3,0.0436,0.0238,0.0202,0.1946,0.1042,0.179
1897,0,2,,,2,,8600,0,0,0,0,0,0,494.22,539.47,573.88,574.8,586.8,598.5,51.44,51.64,18.37,19.02,19.12,22.5,0.1041,0.0957,0.032,0.0331,0.0326,0.0376
1843,0,2,2,2,2,40,2700,0,0,0,0,0,0,2692.12,2594.86,2346.19,1867.9,1914.76,1843.21,112.86,112.86,68.4,75.24,71.82,64.98,0.0419,0.0435,0.0292,0.0403,0.0375,0.0353
23679,0,2,,,2,,5100,-1,-1,-1,-1,-1,-1,100.34,97.23,49.42,72.85,27.22,84.47,97.23,49.42,78.25,32.08,84.47,36.7,0.969,0.5083,1,0.4404,1,0.4345
5656,0,1,1,2,2,24,700,-1,2,2,2,0,0,660.68,640.74,714.95,693.23,663.79,682.43,0,84.82,0,34.2,35.4,34.2,0,0.1324,0,0.0493,0.0533,0.0501
12619,0,2,2,2,2,38,5100,-1,-1,-1,0,0,0,178.49,0,177.84,53.39,55.85,7.87,0,177.84,0,2.46,15.73,153.46,0,1,0,0.0461,0.2816,1
21347,0,3,1,1,1,64,15000,0,0,0,0,0,0,14604.7,14758.67,14145.29,12150.37,12352.01,11584.63,684,615.6,615.7,513,444.6,581.4,0.0468,0.0417,0.0435,0.0422,0.036,0.0502
9935,0,1,,,1,,1700,-1,0,0,0,0,0,1461.23,1473.06,1196.45,1029.08,814.64,616.01,134.78,48.97,34.2,68.4,69.63,13.82,0.0922,0.0332,0.0286,0.0665,0.0855,0.0224
266,0,2,2,2,1,25,5100,-1,-1,-2,-1,-1,-1,210.54,0,0,10.81,10.81,10.81,0,0,10.81,10.81,10.81,10.81,0,1,1,1,1,1
22301,0,3,2,1,2,30,10900,-2,-2,-2,-2,-2,-2,43.06,176.2,145.59,-0.1,-0.1,22.91,177.05,146.31,0,0,23.02,386.05,1,0.8304,0,1,1,1
26313,0,2,2,1,1,33,9900,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
6626,0,2,,,2,,8200,0,0,0,0,-1,2,101.27,162.38,239.84,264.09,25.03,9.95,68.4,98.26,34.2,30.16,0,0,0.6754,0.6051,0.1426,0.1142,0,0
13248,0,1,1,2,1,51,700,1,2,2,0,0,0,631.4,621.59,553.49,578.42,603.29,639.13,10.26,34.2,34.2,34.2,51.3,41.04,0.0162,0.055,0.0618,0.0591,0.085,0.0642
14432,0,2,2,2,2,27,6800,0,0,0,0,0,0,4372.23,4492.24,4476.23,4519.26,4038.47,3908.41,225,161.9,149.39,143.06,144.56,139.06,0.0515,0.036,0.0334,0.0317,0.0358,0.0356
11966,0,2,2,2,2,42,9200,-1,-1,-1,-2,-2,-2,419.39,342.86,0,0,0,0,342.86,0,0,0,0,0,0.8175,0,1,1,1,1
29192,0,2,1,2,2,29,6800,-2,-2,-2,-2,-2,-2,470.76,489.2,1005.45,540.94,210.5,340.46,489.2,1005.62,541.22,210.5,340.46,676.24,1,1,0.5383,0.3891,1,1
20734,0,1,1,2,1,41,1700,1,4,3,2,2,2,1099.22,1072.17,1045.67,1018.61,1070.05,1116.08,0,0,0,68.4,68.4,0,0,0,0,0.0672,0.0639,0
4433,0,1,2,3,3,42,1000,3,3,2,2,2,2,946.28,921.86,937.94,963.72,976.24,955.62,0,41.04,51.3,37.62,0,34.2,0,0.0445,0.0547,0.039,0,0.0358
25560,0,2,2,2,2,28,9600,0,0,0,0,0,0,4089.88,4172.91,4455.78,4470.11,4547.37,4664.88,150.86,351.64,102.81,90.94,117.51,34.2,0.0369,0.0843,0.0231,0.0203,0.0258,0.0073
10596,0,2,2,1,1,29,5100,0,0,2,0,0,0,623.5,705.38,596.55,740.4,753.94,643.44,102.6,0.07,171,68.4,51.3,72.06,0.1646,0.0001,0.2866,0.0924,0.068,0.112
23671,0,2,2,2,2,34,2700,0,0,0,2,0,0,1387.49,1432.06,3021.95,1493.55,1523.3,1621.8,67.82,140.22,0,54.58,123.12,0,0.0489,0.0979,0,0.0365,0.0808,0
20304,0,2,2,3,1,54,2700,0,0,0,0,0,0,415.8,477.3,491.86,534.58,549.94,592.58,68.4,51.3,51.3,34.2,51.3,68.57,0.1645,0.1075,0.1043,0.064,0.0933,0.1157
17843,0,1,1,2,2,24,700,2,2,2,2,2,2,555.37,556.64,571.65,626.78,606.54,665.05,20.52,34.2,75.24,0,68.4,0,0.0369,0.0614,0.1316,0,0.1128,0
19592,0,3,2,1,1,33,14400,2,-1,0,-1,-1,0,277.6,712.63,739.06,364.37,151.4,61.56,712.63,38.24,364.5,216.86,0,0.1,1,0.0537,0.4932,0.5952,0,0.0016
8477,0,1,1,2,2,31,1700,0,0,0,0,-1,-1,1663.49,1692.32,1397.07,0,27.36,13.68,68.4,102.6,0,13.68,684,342,0.0411,0.0606,0,1,1,1
28575,0,2,,,2,,6200,1,-1,0,0,-1,-1,0,105.85,268.23,447.47,31.67,24.32,105.85,171,205.95,87.76,24.32,82.73,1,1,0.7678,0.1961,0.7679,1
12971,0,2,2,,1,,9600,0,0,0,0,0,0,9805.35,9310.71,6968.04,6960.38,7109.43,7243.97,358.42,275,246.24,256.5,242.58,195.01,0.0366,0.0295,0.0353,0.0369,0.0341,0.0269
8846,0,3,2,2,1,51,12300,-1,-1,-1,-1,-1,-1,655.1,50.38,48.91,639.44,22.54,26.71,50.38,48.91,640.91,22.54,26.71,53.25,0.0769,0.9708,1,0.0352,1,1
5688,0,3,2,,1,,16400,0,0,-1,0,0,0,3647.77,13680,2266.43,2745.37,2809.87,3788.44,10328.4,2266.43,513,104.1,1027.44,1164.44,1,0.1657,0.2263,0.0379,0.3657,0.3074
23744,0,2,2,2,1,50,6800,-2,-1,0,0,-1,0,116.76,227.09,254.04,350,184,257.59,227.09,35.06,350.52,184,171,77.33,1,0.1544,1,0.5257,0.9293,0.3002
29087,0,2,2,3,1,61,2100,0,0,0,0,0,0,964.71,999.67,1051.27,1054.76,959.96,955.58,51.13,68.54,68.71,41.42,68.4,41.07,0.053,0.0686,0.0654,0.0393,0.0713,0.043
10472,0,3,2,1,1,32,14400,0,0,0,0,0,0,1554.9,1581.13,1068.17,778.67,772.51,758.28,58.35,47.91,27.5,29.14,0,277.02,0.0375,0.0303,0.0257,0.0374,0,0.3653
4793,0,1,,,1,,700,0,0,0,0,0,0,614.71,1120.67,549.15,485.26,453.66,417.72,68.4,51.51,34.2,27.36,34.2,34.2,0.1113,0.046,0.0623,0.0564,0.0754,0.0819
20825,0,2,1,2,2,30,7500,0,0,0,0,0,0,7750.16,7448.76,6464.35,4712.35,3649.58,3303.31,262.21,248.33,176.81,138.65,153.9,41.9,0.0338,0.0333,0.0274,0.0294,0.0422,0.0127
10748,0,3,1,3,1,32,10600,0,0,0,0,0,0,5908.8,5211.98,3774.83,2885.56,1976.04,484.37,283.69,205.2,136.8,102.6,34.2,68.4,0.048,0.0394,0.0362,0.0356,0.0173,0.1412
21565,0,2,2,2,2,23,2700,1,2,2,2,2,2,2345.91,2287.74,2472.9,2413.02,2531.52,2588.09,0,222.54,0,179.89,102.6,156.77,0,0.0973,0,0.0745,0.0405,0.0606
22109,0,2,2,2,1,30,5100,-1,-1,0,0,-1,-1,1204.28,3934.4,4620.08,2738.91,1229.15,1315.33,3934.4,2259.46,69.46,1229.15,1315.33,1407.47,1,0.5743,0.015,0.4488,1,1
7004,0,1,1,3,2,58,700,0,0,-2,-2,-2,-2,412.66,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
637,0,1,2,3,1,49,1700,0,0,0,0,0,0,192.55,226.71,202.4,236.6,237.38,162.66,37.86,34.2,34.2,51.3,73.53,0,0.1966,0.1509,0.169,0.2168,0.3098,0
23929,0,1,1,2,2,22,700,0,0,0,0,0,0,562.21,586.19,624.8,1302.4,681.37,233.42,43.74,48.15,40.36,34.2,17.1,17.1,0.0778,0.0821,0.0646,0.0263,0.0251,0.0733
1527,0,2,2,2,1,25,3100,0,0,0,0,0,0,2993.36,3045.58,2934.6,2331.96,2360.18,2405.66,143.64,102.6,102.6,102.6,88.92,102.6,0.048,0.0337,0.035,0.044,0.0377,0.0426
1581,0,2,2,,1,,8200,0,0,0,2,0,0,750.45,1248.95,1898.61,1677.48,1955.49,1436.71,513,684,113.89,1026,342,342,0.6836,0.5477,0.06,0.6116,0.1749,0.238
7414,0,2,2,1,1,36,7900,-1,-1,-1,-1,-1,-1,71.07,13,71.82,18.13,78.04,47.54,13,71.82,18.13,78.04,47.54,13,0.1829,1,0.2524,1,0.6092,0.2735
8525,0,3,2,1,2,32,13000,-1,-1,-1,-1,-1,-1,1427.06,1510.89,2833.81,25.75,396.69,285.5,1510.89,3077.97,25.75,396.69,285.5,53.73,1,1,0.0091,1,0.7197,0.1882
29813,0,2,1,2,1,37,6800,0,0,0,0,0,0,5106.16,5356.81,4674.63,4700.17,4721.62,4330.23,1026,1026,141.86,516.42,274.59,513.14,0.2009,0.1915,0.0303,0.1099,0.0582,0.1185
24138,0,2,1,0,2,28,5100,0,0,0,0,-1,-1,542.24,931.64,711.98,337.35,135.33,75.41,617.52,139.02,36.18,135.98,75.79,0,1,0.1492,0.0508,0.4031,0.56,0
29510,0,2,,,3,,6800,0,0,0,2,2,2,3644.9,3665.49,4093.43,3976.71,4380.58,4306.84,132.15,488,0,472.23,0,157.32,0.0363,0.1331,0,0.1187,0,0.0365
3519,0,3,1,1,1,34,12300,-1,-1,-1,-1,-1,-1,34.1,43.33,134.58,83.35,95.66,8.76,43.43,134.95,83.58,95.93,8.82,0.03,1,1,0.621,1,0.0922,0.0034
15405,0,3,2,3,1,51,10900,-1,-1,-1,-1,-1,0,286.97,97.64,34.92,32.59,29.69,29.82,98.12,35.09,32.73,29.69,0.14,32.63,0.3419,0.3594,0.9373,0.911,0.0047,1
29079,0,2,2,3,0,56,3400,1,2,0,0,2,2,978.98,956.54,985.37,1064.78,1041.18,1110.13,0,51.3,92.34,0,82.08,0,0,0.0536,0.0937,0,0.0788,0
29048,0,2,2,3,1,65,4100,0,0,0,0,0,0,1998.51,2058.91,2087.64,2094.85,1973.17,86.53,93.71,82.32,48.6,0,0,28.73,0.0469,0.04,0.0233,0,0,0.332
9634,0,1,,,2,,1700,0,0,0,0,0,0,1589.1,1633.94,1628.81,1546.76,1006.71,354.41,80.95,54.93,40.97,40.9,11.73,5.27,0.0509,0.0336,0.0252,0.0264,0.0117,0.0149
12879,0,3,2,1,1,47,16100,0,0,0,0,0,2,15289.35,15392.39,15427.28,15124.51,15421.6,14645.77,601.92,595.08,525.31,1060.2,0,988.38,0.0394,0.0387,0.0341,0.0701,0,0.0675
6150,0,2,2,1,2,31,7900,-2,-2,-2,-1,-1,-1,0,0,6.7,18.23,42.34,32.73,0,6.7,18.23,42.34,32.73,40.6,1,1,1,1,0.773,1
23322,0,2,2,2,1,34,9600,-2,-2,-2,-2,-2,-2,218.81,284.58,437.69,122.47,352.6,400.72,284.92,437.93,122.68,354.35,401.3,300.96,1,1,0.2803,1,1,0.751
3045,0,3,1,1,1,48,14700,-2,-2,-2,-2,-2,-2,152.84,1785.68,1605.18,0,1606.96,30.16,1786.13,1605.18,0,1606.96,30.16,0,1,0.8989,0,1,0.0188,0
4594,0,2,1,1,2,28,2700,1,2,-1,0,-1,-1,185.74,67.07,56.29,111.7,13,66.72,0,58.14,68.4,13,66.72,64.98,0,0.8669,1,0.1164,1,0.9739
25774,0,2,2,2,2,42,9600,0,0,0,0,0,0,9308.9,9112.9,7828.62,8008.92,6179.39,6303.71,338.92,307.8,319.05,239.4,222.68,188.1,0.0364,0.0338,0.0408,0.0299,0.036,0.0298
22021,0,1,2,2,2,25,1000,0,0,2,0,0,0,181.02,277.26,264.64,348.12,407.05,448.33,102.6,0,102.6,68.4,51.3,34.2,0.5668,0,0.3877,0.1965,0.126,0.0763
28292,0,2,,,2,,7500,0,0,0,0,0,0,7328.17,7325.88,7241.27,2769,2701.53,2651.77,376.2,342,342,205.2,205.2,171,0.0513,0.0467,0.0472,0.0741,0.076,0.0645
